time, resource data (Actor State [ActiveInput])*, resource workload, decision data (Actor State [NumberOfEnabledTransitions])*, decision workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
0,,0,(ParentSearch IDLE [1])(VideoOperator IDLE [1])(Operator IDLE [1]),3,(ParentSearch IDLE [1])(VideoOperator IDLE [1])(Operator IDLE [1]),3,,
1,(ParentSearch POKE_MM [PS_START_TRANSMIT_NEW_SEARCH_AOI_PS])(VideoOperator POKE_MM [VO_START_TRANSMIT_TARGET_SIGHTING_VO])(MissionManager IDLE [OP_POKE_MM])(MissionManager IDLE [PS_POKE_MM])(MissionManager IDLE [VO_POKE_MM])(Operator POKE_MM [OP_START_TRANSMIT_SEARCH_COMPLETE_OP]),6,(MissionManager IDLE [1]),1,(MissionManager IDLE [3]),3,([PS_START_TRANSMIT_NEW_SEARCH_AOI_PS])([VO_START_TRANSMIT_TARGET_SIGHTING_VO])([OP_START_TRANSMIT_SEARCH_COMPLETE_OP]),
2,(MissionManager RX_OP [MM_START_LISTEN_TO_OP_MM])(MissionManager RX_OP [OP_POKE_MM])(MissionManager RX_OP [PS_POKE_MM])(MissionManager RX_OP [VO_POKE_MM])(Operator POKE_MM [MM_ACK_OP]),5,(Operator POKE_MM [1]),1,(Operator POKE_MM [1]),1,([MM_START_LISTEN_TO_OP_MM]),
3,(MissionManager RX_OP [PS_POKE_MM])(MissionManager RX_OP [VO_POKE_MM])(Operator TX_MM [MM_ACK_OP]),3,(Operator TX_MM [60]),60,(Operator TX_MM [1]),1,,
63,(MissionManager RX_OP [OP_SEARCH_COMPLETE_MM])(MissionManager RX_OP [PS_POKE_MM])(MissionManager RX_OP [VO_POKE_MM])(Operator END_MM [OP_STOP_TRANSMIT_SEARCH_COMPLETE_OP])(Operator END_MM [MM_ACK_OP]),5,(MissionManager RX_OP [1])(Operator END_MM [1]),2,(MissionManager RX_OP [1])(Operator END_MM [1]),2,,([OP_STOP_TRANSMIT_SEARCH_COMPLETE_OP])
64,(MissionManager IDLE [MM_STOP_LISTEN_TO_OP_MM])(MissionManager IDLE [PS_POKE_MM])(MissionManager IDLE [VO_POKE_MM]),3,(MissionManager IDLE [1]),1,(MissionManager IDLE [2]),2,,([MM_STOP_LISTEN_TO_OP_MM])
65,(VideoOperator POKE_MM [MM_ACK_VO])(MissionManager RX_VO [MM_START_LISTEN_TO_VO_MM])(MissionManager RX_VO [PS_POKE_MM])(MissionManager RX_VO [VO_POKE_MM]),4,(VideoOperator POKE_MM [1]),1,(VideoOperator POKE_MM [1]),1,([MM_START_LISTEN_TO_VO_MM]),
66,(VideoOperator TX_MM [MM_ACK_VO])(MissionManager RX_VO [PS_POKE_MM]),2,(VideoOperator TX_MM [111]),111,(VideoOperator TX_MM [1]),1,,
177,(VideoOperator END_MM [VO_STOP_TRANSMIT_TARGET_SIGHTING_VO])(VideoOperator END_MM [MM_ACK_VO])(MissionManager RX_VO [PS_POKE_MM])(MissionManager RX_VO [VO_TARGET_SIGHTED_F_MM]),4,(MissionManager RX_VO [1])(VideoOperator END_MM [1]),2,(MissionManager RX_VO [1])(VideoOperator END_MM [1]),2,,([VO_STOP_TRANSMIT_TARGET_SIGHTING_VO])
178,(MissionManager IDLE [MM_STOP_LISTEN_TO_VO_MM])(MissionManager IDLE [PS_POKE_MM]),2,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,,([MM_STOP_LISTEN_TO_VO_MM])
179,(ParentSearch POKE_MM [MM_ACK_PS])(MissionManager RX_PS [MM_START_LISTEN_TO_PS_MM])(MissionManager RX_PS [PS_POKE_MM]),3,(ParentSearch POKE_MM [1]),1,(ParentSearch POKE_MM [1]),1,([MM_START_LISTEN_TO_PS_MM]),